id_venda,data_venda,cliente_id,cliente_nome,cliente_email,cliente_cidade,cliente_estado,tipo_vinho,rotulo,uva,pais_origem,teor_alcoolico,preco,quantidade,status_venda
153149c4-b661-4448-9a22-899d2cc4804d,2025-07-01,7417c1cd-5632-4203-91b5-c3ffa9490cd0,Catarina Machado,cunhalarissa@example.org,da Paz,RN,Espumante,Prosecco Extra Dry,Glera,Itália,11.0,131.82,9,cancelada
3d6e24a3-7cd4-4870-996a-730866a696d3,2024-02-22,65bc07c1-0df9-4343-b98f-769aeecd9ab0,Nathan Brito,ribeiropedro-henrique@example.com,Marques,BA,Tinto,Merlot Reserva,Merlot,França,13.0,52.94,6,cancelada
831f1f26-3da0-4bd4-8eb5-4326180abd4c,2024-08-03,4e6e7060-da6e-4719-9fea-b8b1e4b4ac65,Gustavo Alves,fernando55@example.org,Correia,RO,Branco,Sauvignon Blanc Fresh,Sauvignon Blanc,Nova Zelândia,12.0,61.41,4,pendente
ab5dd285-747d-4fa2-bd1f-d58d31850408,2023-03-23,2ddab538-f6d7-4f06-a4b7-2da6e34c50ff,Vinícius Sampaio,maria-juliasousa@example.com,Mendes,PB,Tinto,Malbec Premium,Malbec,Argentina,14.2,137.43,9,pendente
7b57ac91-0aaa-4ec8-ae7c-7f704d5c2986,2025-03-15,4627eca4-8f24-418d-a531-2edf33aea791,Davi Lucca Pires,valentim71@example.com,Pacheco de Melo,MS,Tinto,Syrah Signature,Syrah,Austrália,13.8,102.33,10,cancelada
f03d0049-9377-4b51-85c5-90a5b07de164,2023-01-18,5b5a3eb8-6c75-429a-b087-0dcdb62fe447,Valentim Machado,martinsravy@example.com,Cirino de Fonseca,SE,Tinto,Cabernet Sauvignon,Cabernet Sauvignon,Chile,13.5,111.91,9,cancelada
125c566d-67ac-421b-94af-1e98d3226ebd,2025-11-13,74ffeca9-2aa1-4dac-9171-162071a12938,Sr. Juan Rios,nuneskevin@example.com,Macedo,RJ,Tinto,Malbec Premium,Malbec,Argentina,14.2,97.44,11,pendente
ebe29d5a-35b8-4627-bc04-c5601d668511,2024-09-21,1ff1679d-f57e-4327-b2c4-624cfc0445c6,Antonella Rodrigues,anna-liz63@example.net,Borges,AP,Rosé,Rosé Summer,Grenache,Espanha,12.0,32.53,2,pendente
9c76cebc-8276-48fb-8e81-cf887512f220,2023-03-05,26515470-83d6-458b-a84d-600da5cd86a3,Lucas Gabriel da Luz,qsampaio@example.org,Andrade Verde,MG,Rosé,Rosé Provence,Blend,França,12.5,82.64,12,cancelada
9631cef7-3cb3-4ba1-9876-e96b321a6045,2025-09-08,4e3902b0-1016-46d5-87d5-3e001e101c36,Ana Sophia Souza,mariah86@example.net,Vargas da Praia,MS,Branco,Riesling Classic,Riesling,Alemanha,11.5,107.95,10,cancelada
cbe7693c-45c7-4f6c-9d58-ba4311b77954,2025-08-02,ad97aabb-551d-4960-92b5-912dec2f0f81,Thomas Sampaio,qalves@example.net,Carvalho,AP,Espumante,Cava Brut,Macabeo,Espanha,11.5,191.54,10,cancelada
81c123b5-bc9c-421b-a700-264a6541127e,2023-04-18,dd898a0c-bebd-4bd1-811f-439591e2ca10,Dr. João Pedro Cirino,guerraisis@example.com,Martins da Serra,AC,Branco,Riesling Classic,Riesling,Alemanha,11.5,103.33,6,cancelada
7772b89d-af75-434d-9bd4-fc7f08ad9c7b,2023-12-29,1c4beb19-ef8a-4954-af2d-f63686e45a76,Agatha Vargas,lucas21@example.com,Cardoso das Pedras,AC,Espumante,Cava Brut,Macabeo,Espanha,11.5,117.98,8,cancelada
2e5740f0-69e1-42f8-a69a-a2a82be2efa3,2024-02-20,ef851766-b720-4187-a085-83a9c20feb62,Luiz Otávio Macedo,amandaguerra@example.org,da Mata,SE,Branco,Riesling Classic,Riesling,Alemanha,11.5,70.6,9,cancelada
f94580fd-1f51-4ca7-8485-182f212e03c3,2022-12-03,34d7d6b6-9995-43c5-bfba-dbf58ddce59b,Gustavo Henrique Pastor,henriquemendonca@example.net,Novaes Grande,MS,Espumante,Prosecco Extra Dry,Glera,Itália,11.0,275.28,1,concluída
195d7987-a446-489e-a6a8-31d97e387acc,2023-08-05,ec9272c1-909f-4777-b564-277f0795d565,Théo Ribeiro,brenda34@example.org,Melo do Galho,PE,Tinto,Merlot Reserva,Merlot,França,13.0,132.84,2,pendente
e389de51-8f1e-46d0-9f10-77966f0e4265,2025-09-28,bac6746c-04bd-4cc5-ad22-f7d9641b90d2,José da Rosa,gramos@example.net,Cunha,PE,Rosé,Rosé Provence,Blend,França,12.5,95.48,6,concluída
